zoning,multifamily
C-3-C,1
D-1-R,1
D-3,1
D-4-R,1
D-5,1
D-5-R,1
D-6,1
D-6-R,1
D-7,1
MU-10,1
MU-12,1
MU-15,1
MU-2,1
MU-20,1
MU-3-A,0
MU-3A,0
MU-4,1
MU-5-A,1
MU-6,1
MU-7,1
MU-8,1
NC-10,1
NC-12,1
NC-8,1
PDR-1,0
R-1-A,0
R-1-B,0
R-17,0
R-19,0
R-2,0
R-20,0
R-3,0
RA-1,0
RA-10,1
RA-2,1
RA-3,1
RA-4,1
RA-5,1
RA-8,1
RF-1,0
RF-3,0
Unzoned,1
